chart,status,lines,containers,characters
nexmonyx-backend,Correct,360,1,8998
pyspark-notebook,Correct,236,1,5801
plausible,Correct,194,2,5749
sorry-cypress,Correct,814,9,24192
scaleway-csi,Correct,1018,11,40915
ed-traefik2,Correct,196,1,4753
service-presets,Correct,387,1,9147
deploy-elibrary,Correct,24,1,512
kubeauth.io,Correct,541,4,40748
pulse,Correct,147,1,3989
tei,Correct,120,1,2785
instant-chart,Correct,33,0,826
squid,Correct,146,1,4377
blueprint,Correct,113,2,3038
test-helm-app2,Correct,34,1,593
rclone,Correct,53,0,1263
opensearch-cluster,Correct,104,0,2365
test0,Correct,160,2,3115
otel-operator,Correct,12777,4,539932
ed-cron,Correct,37,0,846
jellyfin,Correct,183,2,4501
grpc-web,Correct,269,1,8416
meerschaum,Correct,152,1,4023
cp4d-deployer,Correct,363,1,8862
wg-access-server,Correct,134,1,3610
sealed-secrets-ui,Correct,194,2,5428
blackduck-alert,Correct,580,4,14401
traefik-hub,Correct,611,1,32317
ed-nginx,Correct,285,1,6979
deis-workflow,Correct,109,2,2819
tailscale-relay,Correct,155,1,4395
tfy-inferentia-operator,Correct,547,3,13325
mojeaplikace,Correct,102,2,2570
ping-exporter,Correct,124,2,3182
stock-x,Correct,73,1,1768
log2rbac-operator,Correct,242,1,6888
flagsmith,Correct,559,5,16063
heimdall,Correct,92,1,2312
timesketch,Correct,1466,5,44965
bipeenhelm-chart,Correct,37,1,690
tenant-insights,Correct,6204,1,199133
mimir-openshift-experimental,Correct,2109,13,65463
vault-dev,Correct,59,1,1187
csi-s3,Correct,273,4,7866
myfirstchart,Correct,69,1,1714
zipkin,Correct,301,2,7897
akaunting,Correct,440,2,12573
traefik-forward-auth-openid,Correct,178,1,4974
thingsboard,Correct,438,2,12503
cloudevents,Correct,269,1,8565
billing,Correct,213,1,6773
ed-traefik,Correct,93,1,2117
pgbench,Correct,149,1,3879
oauth2-proxy,Correct,145,1,3725
influxdb,Correct,105,1,2441
pages,Correct,343,6,8551
ed-deployment,Correct,46,1,1237
ussigw-configuration,Correct,200,2,6459
cloud-native-pg,Correct,52,0,1172
helmchart,Correct,102,2,2483
akto,Correct,557,8,14283
umsapp,Correct,396,3,11053
ussigw-core,Correct,219,2,6443
identity-manager-demo,Correct,120,1,3323
test-helm-app1,Correct,36,1,621
knative-serving,Correct,2720,8,101394
k8s-resources,Empty,1,0,1
ndb-operator,Correct,383,2,9737
horizon-satellite,Correct,80,1,2166
terraform-enterprise,Correct,175,1,4239
admin-networkpolicies,Empty,1,0,1
